priority,deadline,category,task,status
P0,2026-07-20,База / організація,"Зібрати єдиний backlog усіх ідей, багів і фіч",not started
P0,2026-08-10,Стабільність,"Прибрати / відключити систему спеціальних карт, якщо вона більше не потрібна",not started
P0,2026-08-15,Стабільність,Виправити критичні баги після оновлення сторінки / reconnect / відновлення стану кімнати,not started
P0,2026-08-20,UX/UI,"Доробити кнопки у футері: Конфіденційність, Умови використання, Контакти",not started
P0,2026-08-25,Локалізація,Почистити російську локалізацію від залишків українського/англійського тексту,not started
P0,2026-08-31,Дані / Tooltip,"Виправити логіку tooltip / stage / severity і приховати ступінь там, де його не має бути",not started
P1,2026-09-15,Геймдизайн,Спроєктувати систему особливостей професій (структура даних + правила активації),not started
P1,2026-09-30,Геймдизайн,"Реалізувати професії v1: лікар, психолог, шахрай",not started
P1,2026-10-05,UX/UI,Додати кнопки здібностей у картку персонажа / інвентар,not started
P1,2026-10-10,Геймдизайн,Реалізувати механіку підміни інвентарю на 1 раунд для шахрая,not started
P1,2026-10-20,Баланс,Впровадити систему псевдо-рандому: у персонажа не може бути ідеальний набір без мінусів,not started
P1,2026-10-31,Геймдизайн,"Показ SecretGoal, перевірка логіки розкриття характеристик, групових reveal-механік",not started
P1,2026-11-15,Контент,Переробити mental / physical health на рівні тяжкості з окремими описами,not started
P1,2026-11-30,Локалізація,Підготувати повну локалізацію UA / RU / EN для нових систем,not started
P2,2026-12-15,Контент,"Розширити базу physical health (ціль: 250+ перша хвиля, далі рух до 500)",not started
P2,2026-12-20,Контент,"Розширити базу mental conditions (ціль: 100+ перша хвиля, далі рух до 200)",not started
P2,2026-12-31,Контент,"Додати/переглянути факти, хобі, трейти, апокаліпсиси; пріоритет хаотичному стилю гри",not started
P0,2027-01-15,Тестування,Зробити базовий набір smoke/regression тестів для основних сценаріїв,not started
P0,2027-01-31,Тестування,Провести глобальні тести на мобільних екранах та responsiveness,not started
P0,2027-02-10,Тестування,"Провести навантажувальний тест на 20 кімнат, перевірити UI та SignalR-поведінку",not started
P1,2027-02-20,Тестування,"Додати тести для здібностей професій, інвентарю, голосування, reveal, reconnect",not started
P1,2027-02-28,Сервер,"Налаштувати логи, відслідковування помилок, basic admin/debug info",not started
P1,2027-03-15,Функціонал,"Допиляти host panel, кімнати, пароль/налаштування, size rules",not started
P1,2027-03-31,UX/UI,"Загальний UI polish: читабельність, адаптивність, послідовність стилю, футер/сторінки",not started
P1,2027-04-20,Реліз,Провести закриту бету з друзями/тестерами та зібрати фідбек,not started
P1,2027-05-10,Реліз,Виправити найкритичніші проблеми після бети,not started
P1,2027-05-31,Монетизація,Визначити модель: web premium / premium host tools / Steam-версія / DLC,not started
P1,2027-06-15,Реліз,Підготувати реліз-кандидат стабільної web-версії,not started
P2,2027-06-30,Нові режими,Зробити прототип Presidents Mode як окремий режим або stretch goal,not started
